Year,Coach,Team,Games Played,Wins,Losses,Tie,Win %,Points Scored,Points Against,Point Differential
2005,Dick Vermeil,Chiefs,16,10,6,0,0.6250,403,325,78
2006,Herm Edwards,Chiefs,16,9,7,0,0.5625,331,315,16
2007,Herm Edwards,Chiefs,16,4,12,0,0.2500,226,335,-109
2008,Herm Edwards,Chiefs,16,2,14,0,0.1250,291,440,-149
2009,Todd Hailey,Chiefs,16,4,12,0,0.2500,294,424,-130
2010,Todd Hailey,Chiefs,16,10,6,0,0.6250,366,326,40
2011,Todd Haley,Chiefs,13,5,8,0,0.3846,173,305,-132
2011,Romeo Crenell,Chiefs,3,2,1,0,0.6667,39,33,6
2012,Romeo Crenell,Chiefs,16,2,14,0,0.1250,211,425,-214
2013,Andy Reid,Chiefs,16,11,5,0,0.6875,430,305,125
2014,Andy Reid,Chiefs,16,9,7,0,0.5625,353,281,72
2015,Andy Reid,Chiefs,16,11,5,0,0.6875,405,287,118
2016,Andy Reid,Chiefs,16,12,4,0,0.7500,389,311,78
2017,Andy Reid,Chiefs,16,10,6,0,0.6250,415,339,76
2018,Andy Reid,Chiefs,16,12,4,0,0.7500,565,421,144
2019,Andy Reid,Chiefs,16,12,4,0,0.7500,451,308,143
2020,Andy Reid,Chiefs,16,14,2,0,0.8750,473,362,111
2021,Andy Reid,Chiefs,17,12,5,0,0.7059,480,364,116
2022,Andy Reid,Chiefs,17,14,3,0,0.8235,496,369,127
2023,Andy Reid,Chiefs,17,11,6,0,0.6471,371,294,77
2002,Marty Schottenheimer,Chargers,16,8,8,0,0.5000,333,367,-34
2003,Marty Schottenheimer,Chargers,16,4,12,0,0.2500,313,441,-128
2004,Marty Schottenheimer,Chargers,16,12,4,0,0.7500,446,313,133
2005,Marty Schottenheimer,Chargers,16,9,7,0,0.5625,418,312,106
2006,Marty Schottenheimer,Chargers,16,14,2,0,0.8750,492,303,189
2007,Norv Turner,Chargers,16,11,5,0,0.6875,412,284,128
2008,Norv Turner,Chargers,16,8,8,0,0.5000,439,347,92
2009,Norv Turner,Chargers,16,13,3,0,0.8125,454,320,134
2010,Norv Turner,Chargers,16,9,7,0,0.5625,441,322,119
2011,Norv Turner,Chargers,16,8,8,0,0.5000,406,377,29
2012,Norv Turner,Chargers,16,7,9,0,0.4375,350,350,0
2013,Mike McCoy,Chargers,16,9,7,0,0.5625,396,348,48
2014,Mike McCoy,Chargers,16,9,7,0,0.5625,348,348,0
2015,Mike McCoy,Chargers,16,4,12,0,0.2500,320,398,-78
2016,Mike McCoy,Chargers,16,5,11,0,0.3125,410,423,-13
2017,Anthony Lynn,Chargers,16,9,7,0,0.5625,355,272,83
2018,Anthony Lynn,Chargers,16,12,4,0,0.7500,428,329,99
2019,Anthony Lynn,Chargers,16,5,11,0,0.3125,337,345,-8
2020,Anthony Lynn,Chargers,16,7,9,0,0.4375,384,426,-42
2021,Brandon Stanley,Chargers,17,9,8,0,0.5294,474,459,15
2022,Brandon Stanley,Chargers,17,10,7,0,0.5882,391,384,7
2023,Brandon Stanley,Chargers,14,5,9,0,0.3571,303,345,-42
2023,Giff Smith,Chargers,3,0,3,0,0.0000,43,53,-10
2002,Mike Shanahan,Broncos,16,9,7,0,0.5625,392,344,48
2003,Mike Shanahan,Broncos,16,10,6,0,0.6250,381,301,80
2004,Mike Shanahan,Broncos,16,10,6,0,0.6250,381,304,77
2005,Mike Shanahan,Broncos,16,13,3,0,0.8125,395,258,137
2006,Mike Shanahan,Broncos,16,9,7,0,0.5625,319,305,14
2007,Mike Shanahan,Broncos,16,7,9,0,0.4375,320,409,-89
2008,Mike Shanahan,Broncos,16,8,8,0,0.5000,370,448,-78
2009,Josh McDaniels,Broncos,16,4,12,0,0.2500,326,324,2
2010,Josh McDaniels,Broncos,12,3,9,0,0.2500,256,333,-77
2010,Eric Studesville,Broncos,4,1,3,0,0.2500,88,138,-50
2011,John Fox,Broncos,16,8,8,0,0.5000,309,390,-81
2012,John Fox,Broncos,16,13,3,0,0.8125,481,289,192
2013,John Fox,Broncos,16,13,3,0,0.8125,606,399,207
2014,John Fox,Broncos,16,12,4,0,0.7500,482,354,128
2015,Gary Kubiak,Broncos,16,12,4,0,0.7500,355,296,59
2016,Gary Kubiak,Broncos,16,9,7,0,0.5625,333,297,36
2017,Vance Joseph,Broncos,16,5,11,0,0.3125,289,382,-93
2018,Vance Joseph,Broncos,16,6,10,0,0.3750,329,349,-20
2019,Vic Fangio,Broncos,16,7,9,0,0.4375,282,316,-34
2020,Vic Fangio,Broncos,16,5,11,0,0.3125,323,446,-123
2021,Vic Fangio,Broncos,17,7,10,0,0.4118,335,322,13
2022,Nathaniel Hackett,Broncos,15,4,11,0,0.2667,232,304,-72
2022,Jerry Rosburg,Broncos,2,1,1,0,0.5000,55,55,0
2023,Sean Payton,Broncos,17,8,9,0,0.4706,357,413,-56
2002,Bill Callahan,Raiders,16,11,5,0,0.6875,450,304,146
2003,Bill Callahan,Raiders,16,4,12,0,0.2500,270,379,-109
2004,Norv Turner,Raiders,16,5,11,0,0.3125,320,442,-122
2005,Norv Turner,Raiders,16,4,12,0,0.2500,290,383,-93
2006,Art Shell,Raiders,16,2,14,0,0.1250,168,332,-164
2007,Lane Kiffin,Raiders,16,4,12,0,0.2500,283,398,-115
2008,Lane Kiffin,Raiders,4,1,3,0,0.2500,78,101,-23
2008,Tom Cable,Raiders,12,4,8,0,0.3333,185,287,-102
2009,Tom Cable,Raiders,16,5,11,0,0.3125,197,379,-182
2010,Tom Cable,Raiders,16,8,8,0,0.5000,410,371,39
2011,Hue Jackson,Raiders,16,8,8,0,0.5000,359,433,-74
2012,Dennis Allen,Raiders,16,4,12,0,0.2500,290,443,-153
2013,Dennis Allen,Raiders,16,4,12,0,0.2500,322,453,-131
2014,Dennis Allen,Raiders,4,0,4,0,0.0000,51,103,-52
2014,Tony Sparano,Raiders,12,3,9,0,0.2500,202,349,-147
2015,Jack del Rio,Raiders,16,7,9,0,0.4375,359,399,-40
2016,Jack del Rio,Raiders,16,12,4,0,0.7500,416,385,31
2017,Jack del Rio,Raiders,16,6,10,0,0.3750,301,373,-72
2018,Jon Gruden,Raiders,16,4,12,0,0.2500,290,467,-177
2019,Jon Gruden,Raiders,16,7,9,0,0.4375,313,419,-106
2020,Jon Gruden,Raiders,16,8,8,0,0.5000,434,478,-44
2021,Jon Gruden,Raiders,5,3,2,0,0.6000,113,120,-7
2021,Rich Bisaccia,Raiders,12,7,5,0,0.5833,261,319,-58
2022,Josh McDaniels,Raiders,17,6,11,0,0.3529,395,418,-23
2023,Josh McDaniels,Raiders,8,3,5,0,0.3750,126,187,-61
2023,Antonio Pierce,Raiders,9,5,4,0,0.5556,206,144,62
2002,Bill Cowher,Steelers,16,10,5,1,0.6667,390,345,45
2003,Bill Cowher,Steelers,16,6,10,0,0.3750,300,327,-27
2004,Bill Cowher,Steelers,16,15,1,0,0.9375,372,251,121
2005,Bill Cowher,Steelers,16,11,5,0,0.6875,389,258,131
2006,Bill Cowher,Steelers,16,8,8,0,0.5000,353,315,38
2007,Mike Tomlin,Steelers,16,10,6,0,0.6250,393,269,124
2008,Mike Tomlin,Steelers,16,12,4,0,0.7500,347,223,124
2009,Mike Tomlin,Steelers,16,9,7,0,0.5625,368,324,44
2010,Mike Tomlin,Steelers,16,12,4,0,0.7500,375,232,143
2011,Mike Tomlin,Steelers,16,12,4,0,0.7500,325,227,98
2012,Mike Tomlin,Steelers,16,8,8,0,0.5000,336,314,22
2013,Mike Tomlin,Steelers,16,8,8,0,0.5000,379,370,9
2014,Mike Tomlin,Steelers,16,11,5,0,0.6875,436,368,68
2015,Mike Tomlin,Steelers,16,10,6,0,0.6250,423,319,104
2016,Mike Tomlin,Steelers,16,11,5,0,0.6875,399,327,72
2017,Mike Tomlin,Steelers,16,13,3,0,0.8125,406,308,98
2018,Mike Tomlin,Steelers,15,9,6,0,0.6000,428,360,68
2019,Mike Tomlin,Steelers,16,8,8,0,0.5000,289,303,-14
2020,Mike Tomlin,Steelers,16,12,4,0,0.7500,416,312,104
2021,Mike Tomlin,Steelers,17,9,7,1,0.5625,343,398,-55
2022,Mike Tomlin,Steelers,17,9,8,0,0.5294,308,346,-38
2023,Mike Tomlin,Steelers,17,10,7,0,0.5882,304,324,-20
2002,Brian Billick,Ravens,16,7,9,0,0.4375,316,354,-38
2003,Brian Billick,Ravens,16,10,6,0,0.6250,391,281,110
2004,Brian Billick,Ravens,16,9,7,0,0.5625,317,268,49
2005,Brian Billick,Ravens,16,6,10,0,0.3750,265,299,-34
2006,Brian Billick,Ravens,16,13,3,0,0.8125,353,201,152
2007,Brian Billick,Ravens,16,5,11,0,0.3125,275,384,-109
2008,John Harbaugh,Ravens,16,11,5,0,0.6875,385,244,141
2009,John Harbaugh,Ravens,16,9,7,0,0.5625,391,261,130
2010,John Harbaugh,Ravens,16,12,4,0,0.7500,357,270,87
2011,John Harbaugh,Ravens,16,12,4,0,0.7500,378,266,112
2012,John Harbaugh,Ravens,16,10,6,0,0.6250,398,344,54
2013,John Harbaugh,Ravens,16,8,8,0,0.5000,320,352,-32
2014,John Harbaugh,Ravens,16,10,6,0,0.6250,409,302,107
2015,John Harbaugh,Ravens,16,5,11,0,0.3125,328,401,-73
2016,John Harbaugh,Ravens,16,8,8,0,0.5000,343,321,22
2017,John Harbaugh,Ravens,16,9,7,0,0.5625,395,303,92
2018,John Harbaugh,Ravens,16,10,6,0,0.6250,389,287,102
2019,John Harbaugh,Ravens,16,14,2,0,0.8750,531,282,249
2020,John Harbaugh,Ravens,16,11,5,0,0.6875,468,303,165
2021,John Harbaugh,Ravens,17,8,9,0,0.4706,387,392,-5
2022,John Harbaugh,Ravens,17,10,7,0,0.5882,350,315,35
2023,John Harbaugh,Ravens,17,13,4,0,0.7647,483,280,203
2002,Dick LeBeau,Bengals,16,2,14,0,0.1250,279,456,-177
2003,Marvin Lewis,Bengals,16,8,8,0,0.5000,346,384,-38
2004,Marvin Lewis,Bengals,16,8,8,0,0.5000,374,372,2
2005,Marvin Lewis,Bengals,16,11,5,0,0.6875,421,350,71
2006,Marvin Lewis,Bengals,16,8,8,0,0.5000,373,331,42
2007,Marvin Lewis,Bengals,16,7,9,0,0.4375,380,385,-5
2008,Marvin Lewis,Bengals,16,4,11,1,0.2667,204,364,-160
2009,Marvin Lewis,Bengals,16,10,6,0,0.6250,305,291,14
2010,Marvin Lewis,Bengals,16,4,12,0,0.2500,322,395,-73
2011,Marvin Lewis,Bengals,16,9,7,0,0.5625,344,323,21
2012,Marvin Lewis,Bengals,16,10,6,0,0.6250,391,320,71
2013,Marvin Lewis,Bengals,16,11,5,0,0.6875,430,305,125
2014,Marvin Lewis,Bengals,16,10,5,1,0.6667,365,344,21
2015,Marvin Lewis,Bengals,16,12,4,0,0.7500,419,279,140
2016,Marvin Lewis,Bengals,15,6,9,0,0.4000,325,315,10
2017,Marvin Lewis,Bengals,16,7,9,0,0.4375,290,349,-59
2018,Marvin Lewis,Bengals,16,6,10,0,0.3750,368,455,-87
2019,Zac Taylor,Bengals,16,2,14,0,0.1250,279,420,-141
2020,Zac Taylor,Bengals,16,4,11,1,0.2667,311,424,-113
2021,Zac Taylor,Bengals,17,10,7,0,0.5882,460,376,84
2022,Zac Taylor,Bengals,16,12,4,0,0.7500,418,322,96
2023,Zac Taylor,Bengals,17,9,8,0,0.5294,366,384,-18
2002,Butch Davis,Browns,16,9,7,0,0.5625,344,320,24
2003,Butch Davis,Browns,16,5,11,0,0.3125,254,322,-68
2004,Butch Davis,Browns,11,3,8,0,0.2727,225,266,-41
2004,Terry Robiskie,Browns,5,1,4,0,0.2000,51,124,-73
2005,Romeo Crennel,Browns,16,6,10,0,0.3750,232,301,-69
2006,Romeo Crennel,Browns,16,4,12,0,0.2500,238,356,-118
2007,Romeo Crennel,Browns,16,10,6,0,0.6250,402,382,20
2008,Romeo Crennel,Browns,16,4,12,0,0.2500,232,350,-118
2009,Eric Mangini,Browns,16,5,11,0,0.3125,245,375,-130
2010,Eric Mangini,Browns,16,5,11,0,0.3125,271,332,-61
2011,Pat Shurmur,Browns,16,4,12,0,0.2500,218,307,-89
2012,Pat Shurmur,Browns,16,5,11,0,0.3125,302,368,-66
2013,Rob Chudzinski,Browns,16,4,12,0,0.2500,308,406,-98
2014,Mike Pettine,Browns,16,7,9,0,0.4375,299,337,-38
2015,Mike Pettine,Browns,16,3,13,0,0.1875,278,432,-154
2016,Hue Jackson,Browns,16,1,15,0,0.0625,264,452,-188
2017,Hue Jackson,Browns,16,0,16,0,0.0000,234,410,-176
2018,Hue Jackson,Browns,7,2,5,0,0.2857,169,210,-41
2018,Gregg Willams,Browns,8,5,3,0,0.6250,190,182,8
2019,Freddie Kitchens,Browns,16,6,10,0,0.3750,335,393,-58
2020,Kevin Stefanski,Browns,12,3,9,0,0.2500,408,419,-11
2021,Kevin Stefanski,Browns,17,8,9,0,0.4706,349,371,-22
2022,Kevin Stefanski,Browns,17,7,10,0,0.4118,361,381,-20
2023,Kevin Stefanski,Browns,17,11,6,0,0.6471,396,362,34
2002,Dom Capers,Texans,16,4,12,0,0.2500,213,356,-143
2003,Dom Capers,Texans,16,5,11,0,0.3125,255,380,-125
2004,Dom Capers,Texans,16,7,9,0,0.4375,309,339,-30
2005,Dom Capers,Texans,16,2,14,0,0.1250,260,431,-171
2006,Gary Kubiak,Texans,16,6,10,0,0.3750,267,366,-99
2007,Gary Kubiak,Texans,16,8,8,0,0.5000,379,384,-5
2008,Gary Kubiak,Texans,16,8,8,0,0.5000,366,394,-28
2009,Gary Kubiak,Texans,16,9,7,0,0.5625,388,333,55
2010,Gary Kubiak,Texans,16,6,10,0,0.3750,390,427,-37
2011,Gary Kubiak,Texans,16,10,6,0,0.6250,381,278,103
2012,Gary Kubiak,Texans,16,12,4,0,0.7500,416,331,85
2013,Gary Kubiak,Texans,13,2,11,0,0.1538,250,350,-100
2013,Wade Phillips,Texans,3,0,3,0,0.0000,26,78,-52
2014,Bill O'Brien,Texans,16,9,7,0,0.5625,372,307,65
2015,Bill O'Brien,Texans,16,9,7,0,0.5625,339,313,26
2016,Bill O'Brien,Texans,16,9,7,0,0.5625,279,328,-49
2017,Bill O'Brien,Texans,16,4,12,0,0.2500,338,436,-98
2018,Bill O'Brien,Texans,16,11,5,0,0.6875,402,316,86
2019,Bill O'Brien,Texans,16,10,6,0,0.6250,378,385,-7
2020,Bill O'Brien,Texans,4,0,4,0,0.0000,80,126,-46
2020,Romeo Crennel,Texans,12,4,8,0,0.3333,304,338,-34
2021,David Culley,Texans,17,4,13,0,0.2353,280,452,-172
2022,Lovie Smith,Texans,17,3,13,1,0.1875,289,420,-131
2023,DeMeco Ryans,Texans,17,10,7,0,0.5882,377,353,24
2002,Tony Dungy,Colts,16,10,6,0,0.6250,349,313,36
2003,Tony Dungy,Colts,16,12,4,0,0.7500,447,336,111
2004,Tony Dungy,Colts,16,12,4,0,0.7500,522,351,171
2005,Tony Dungy,Colts,16,14,2,0,0.8750,439,247,192
2006,Tony Dungy,Colts,16,12,4,0,0.7500,427,360,67
2007,Tony Dungy,Colts,16,13,3,0,0.8125,450,262,188
2008,Tony Dungy,Colts,16,12,4,0,0.7500,377,298,79
2009,Jim Caldwell,Colts,16,14,2,0,0.8750,416,307,109
2010,Jim Caldwell,Colts,16,10,6,0,0.6250,435,388,47
2011,Jim Caldwell,Colts,16,2,14,0,0.1250,243,430,-187
2012,Chuck Pagano,Colts,16,11,5,0,0.6875,357,387,-30
2013,Chuck Pagano,Colts,16,11,5,0,0.6875,391,336,55
2014,Chuck Pagano,Colts,16,11,5,0,0.6875,458,369,89
2015,Chuck Pagano,Colts,16,8,8,0,0.5000,333,408,-75
2016,Chuck Pagano,Colts,16,8,8,0,0.5000,411,392,19
2017,Chuck Pagano,Colts,16,4,12,0,0.2500,263,404,-141
2018,Frank Reich,Colts,16,10,6,0,0.6250,433,344,89
2019,Frank Reich,Colts,16,7,9,0,0.4375,361,373,-12
2020,Frank Reich,Colts,16,11,5,0,0.6875,451,362,89
2021,Frank Reich,Colts,17,9,8,0,0.5294,451,365,86
2022,Frank Reich,Colts,9,3,5,1,0.3750,132,180,-48
2022,Jeff Saturday,Colts,8,1,7,0,0.1250,157,244,-87
2023,Shane Steichen,Colts,17,9,8,0,0.5294,396,415,-19
2002,Jeff Fisher,Titans,16,11,5,0,0.6875,367,324,43
2003,Jeff Fisher,Titans,16,12,4,0,0.7500,435,324,111
2004,Jeff Fisher,Titans,16,5,11,0,0.3125,344,439,-95
2005,Jeff Fisher,Titans,16,4,12,0,0.2500,299,421,-122
2006,Jeff Fisher,Titans,16,8,8,0,0.5000,324,400,-76
2007,Jeff Fisher,Titans,16,10,6,0,0.6250,301,297,4
2008,Jeff Fisher,Titans,16,13,3,0,0.8125,375,234,141
2009,Jeff Fisher,Titans,16,8,8,0,0.5000,354,402,-48
2010,Jeff Fisher,Titans,16,6,10,0,0.3750,356,339,17
2011,Mike Munchak,Titans,16,9,7,0,0.5625,325,317,8
2012,Mike Munchak,Titans,16,6,10,0,0.3750,330,471,-141
2013,Mike Munchak,Titans,16,7,9,0,0.4375,362,381,-19
2014,Ken Whisenhunt,Titans,16,2,14,0,0.1250,254,438,-184
2015,Ken Whisenhunt,Titans,7,1,6,0,0.1429,125,159,-34
2015,Mike Mularkey,Titans,9,2,7,0,0.2222,174,264,-90
2016,Mike Mularkey,Titans,16,9,7,0,0.5625,381,378,3
2017,Mike Mularkey,Titans,16,9,7,0,0.5625,334,356,-22
2018,Mike Vrabel,Titans,16,9,7,0,0.5625,310,303,7
2019,Mike Vrabel,Titans,16,9,7,0,0.5625,402,331,71
2020,Mike Vrabel,Titans,16,11,5,0,0.6875,491,439,52
2021,Mike Vrabel,Titans,17,12,5,0,0.7059,419,354,65
2022,Mike Vrabel,Titans,17,7,10,0,0.4118,298,359,-61
2023,Mike Vrabel,Titans,17,6,11,0,0.3529,305,367,-62
2002,Tom Coughlin,Jaguars,16,6,10,0,0.3750,328,315,13
2003,Jack del Rio,Jaguars,16,5,11,0,0.3125,276,331,-55
2004,Jack del Rio,Jaguars,16,9,7,0,0.5625,261,280,-19
2005,Jack del Rio,Jaguars,16,12,4,0,0.7500,361,269,92
2006,Jack del Rio,Jaguars,16,8,8,0,0.5000,371,274,97
2007,Jack del Rio,Jaguars,16,11,5,0,0.6875,411,304,107
2008,Jack del Rio,Jaguars,16,5,11,0,0.3125,302,367,-65
2009,Jack del Rio,Jaguars,16,7,9,0,0.4375,290,380,-90
2010,Jack del Rio,Jaguars,16,8,8,0,0.5000,353,419,-66
2011,Jack del Rio,Jaguars,11,3,8,0,0.2727,138,200,-62
2011,Mel Tucker,Jaguars,5,2,3,0,0.4000,105,129,-24
2012,Mike Mularkey,Jaguars,16,2,14,0,0.1250,255,444,-189
2013,Gus Bradley,Jaguars,16,4,12,0,0.2500,247,449,-202
2014,Gus Bradley ,Jaguars,16,3,13,0,0.1875,249,412,-163
2015,Gus Bradley,Jaguars,16,5,11,0,0.3125,376,448,-72
2016,Gus Bradley,Jaguars,14,2,12,0,0.1429,260,359,-99
2016,Doug Marrone,Jaguars,2,1,1,0,0.5000,58,41,17
2017,Doug Marrone,Jaguars,16,10,6,0,0.6250,417,268,149
2018,Doug Marrone,Jaguars,16,5,11,0,0.3125,245,316,-71
2019,Doug Marrone,Jaguars,16,6,10,0,0.3750,300,397,-97
2020,Doug Marrone,Jaguars,16,1,15,0,0.0625,306,492,-186
2021,Urban Meyer,Jaguars,13,2,11,0,0.1538,180,340,-160
2021,Darrell Bevell,Jaguars,4,1,3,0,0.2500,73,117,-44
2022,Doug Pederson,Jaguars,17,9,8,0,0.5294,404,350,54
2023,Doug Pederson,Jaguars,17,9,8,0,0.5294,377,371,6
2002,Dave Campo,Cowboys,16,5,11,0,0.3125,217,329,-112
2003,Bill Parcells,Cowboys,16,10,6,0,0.6250,289,260,29
2004,Bill Parcells,Cowboys,16,6,10,0,0.3750,293,405,-112
2005,Bill Parcells,Cowboys,16,9,7,0,0.5625,325,308,17
2006,Bill Parcells,Cowboys,16,9,7,0,0.5625,425,350,75
2007,Wade Phillips,Cowboys,16,13,3,0,0.8125,455,325,130
2008,Wade Phillips,Cowboys,16,9,7,0,0.5625,362,365,-3
2009,Wade Phillips,Cowboys,16,11,5,0,0.6875,361,250,111
2010,Wade Phillips,Cowboys,8,1,7,0,0.1250,161,232,-71
2010,Jason Garrett,Cowboys,8,5,3,0,0.6250,233,204,29
2011,Jason Garrett,Cowboys,16,8,8,0,0.5000,369,347,22
2012,Jason Garrett,Cowboys,16,8,8,0,0.5000,376,400,-24
